"Caller","Sensitivity","Precision","T_coverage","N_coverage","VAF","BND_threshold"
"MantaLumpyUnion",0.52,0.807086614173228,20,45,0.2,5
"MantaLumpyUnion",0.553571428571429,0.877450980392157,20,45,0.2,50
"MantaLumpyUnion",0.576428571428571,0.938931297709924,20,45,0.2,100
"MantaLumpyUnion",0.579285714285714,0.961072664359862,20,45,0.2,150
"MantaLumpyUnion",0.581428571428571,0.970383275261324,20,45,0.2,200
"MantaLumpyUnion",0.802857142857143,0.889902676399027,20,45,0.5,2
"MantaLumpyUnion",0.82,0.917538461538462,20,45,0.5,5
"MantaLumpyUnion",0.832142857142857,0.944409743910056,20,45,0.5,50
"MantaLumpyUnion",0.840714285714286,0.960932577189666,20,45,0.5,100
"MantaLumpyUnion",0.841428571428571,0.963383838383838,20,45,0.5,150
"MantaLumpyUnion",0.841428571428571,0.964601769911504,20,45,0.5,200
"MantaLumpyUnion",0.862142857142857,0.897362385321101,20,45,0.8,2
"MantaLumpyUnion",0.880714285714286,0.92463768115942,20,45,0.8,5
"MantaLumpyUnion",0.891428571428571,0.94327485380117,20,45,0.8,50
"MantaLumpyUnion",0.892857142857143,0.948356807511737,20,45,0.8,100
"MantaLumpyUnion",0.893571428571429,0.952296819787986,20,45,0.8,150
"MantaLumpyUnion",0.893571428571429,0.953982300884956,20,45,0.8,200
"MantaLumpyUnion",0.867142857142857,0.896103896103896,20,45,1,2
"MantaLumpyUnion",0.887857142857143,0.923559612093554,20,45,1,5
"MantaLumpyUnion",0.895714285714286,0.936962750716332,20,45,1,50
"MantaLumpyUnion",0.898571428571429,0.942528735632184,20,45,1,100
"MantaLumpyUnion",0.899285714285714,0.945276497695853,20,45,1,150
"MantaLumpyUnion",0.899285714285714,0.949103528050896,20,45,1,200
"MantaLumpyUnion",0.0585714285714286,0.830188679245283,20,60,0.05,2
"MantaLumpyUnion",0.06,0.867088607594937,20,60,0.05,5
"MantaLumpyUnion",0.0614285714285714,0.892405063291139,20,60,0.05,50
"MantaLumpyUnion",0.0657142857142857,0.91304347826087,20,60,0.05,100
"MantaLumpyUnion",0.0664285714285714,0.942675159235669,20,60,0.05,150
"MantaLumpyUnion",0.0664285714285714,0.942675159235669,20,60,0.05,200
"MantaLumpyUnion",0.23,0.745098039215686,20,60,0.1,2
"MantaLumpyUnion",0.240714285714286,0.779969650986343,20,60,0.1,5
"MantaLumpyUnion",0.252857142857143,0.8359375,20,60,0.1,50
"MantaLumpyUnion",0.266428571428571,0.90453074433657,20,60,0.1,100
"MantaLumpyUnion",0.268571428571429,0.94949494949495,20,60,0.1,150
"MantaLumpyUnion",0.269285714285714,0.965811965811966,20,60,0.1,200
"MantaLumpyUnion",0.502857142857143,0.783529411764706,20,60,0.2,2
"MantaLumpyUnion",0.522142857142857,0.812006319115324,20,60,0.2,5
"MantaLumpyUnion",0.553571428571429,0.881050041017227,20,60,0.2,50
"MantaLumpyUnion",0.576428571428571,0.938931297709924,20,60,0.2,100
"MantaLumpyUnion",0.579285714285714,0.961072664359862,20,60,0.2,150
"MantaLumpyUnion",0.581428571428571,0.970383275261324,20,60,0.2,200
"MantaLumpyUnion",0.802857142857143,0.888281724347298,20,60,0.5,2
"MantaLumpyUnion",0.82,0.915847665847666,20,60,0.5,5
"MantaLumpyUnion",0.832142857142857,0.943231441048035,20,60,0.5,50
"MantaLumpyUnion",0.840714285714286,0.959723096286973,20,60,0.5,100
"MantaLumpyUnion",0.841428571428571,0.962168978562421,20,60,0.5,150
"MantaLumpyUnion",0.841428571428571,0.963383838383838,20,60,0.5,200
"MantaLumpyUnion",0.863571428571429,0.897994269340974,20,60,0.8,2
"MantaLumpyUnion",0.881428571428571,0.924145917776491,20,60,0.8,5
"MantaLumpyUnion",0.892142857142857,0.942757009345794,20,60,0.8,50
"MantaLumpyUnion",0.893571428571429,0.947831184056272,20,60,0.8,100
"MantaLumpyUnion",0.894285714285714,0.951764705882353,20,60,0.8,150
"MantaLumpyUnion",0.894285714285714,0.953447259870359,20,60,0.8,200
"MantaLumpyUnion",0.867857142857143,0.896162528216704,20,60,1,2
"MantaLumpyUnion",0.888571428571429,0.923603192702395,20,60,1,5
"MantaLumpyUnion",0.896428571428571,0.936998854524628,20,60,1,50
"MantaLumpyUnion",0.899285714285714,0.942561746122918,20,60,1,100
"MantaLumpyUnion",0.9,0.945308002302821,20,60,1,150
"MantaLumpyUnion",0.9,0.949132947976879,20,60,1,200
"MantaLumpyUnion",0.0578571428571429,0.813664596273292,20,75,0.05,2
"MantaLumpyUnion",0.0592857142857143,0.85,20,75,0.05,5
"MantaLumpyUnion",0.0607142857142857,0.875,20,75,0.05,50
"MantaLumpyUnion",0.065,0.901234567901235,20,75,0.05,100
"MantaLumpyUnion",0.0657142857142857,0.936305732484076,20,75,0.05,150
"MantaLumpyUnion",0.0657142857142857,0.942307692307692,20,75,0.05,200
"MantaLumpyUnion",0.230714285714286,0.74773413897281,20,75,0.1,2
"MantaLumpyUnion",0.241428571428571,0.782674772036474,20,75,0.1,5
"MantaLumpyUnion",0.253571428571429,0.838810641627543,20,75,0.1,50
"MantaLumpyUnion",0.267142857142857,0.907617504051864,20,75,0.1,100
"MantaLumpyUnion",0.269285714285714,0.949579831932773,20,75,0.1,150
"MantaLumpyUnion",0.27,0.965870307167236,20,75,0.1,200
"MantaLumpyUnion",0.500714285714286,0.782848151062156,20,75,0.2,2
"MantaLumpyUnion",0.52,0.811559778305622,20,75,0.2,5
"MantaLumpyUnion",0.552142857142857,0.880854560394412,20,75,0.2,50
"MantaLumpyUnion",0.575,0.939625850340136,20,75,0.2,100
"MantaLumpyUnion",0.577857142857143,0.961005199306759,20,75,0.2,150
"MantaLumpyUnion",0.58,0.970331588132635,20,75,0.2,200
"MantaLumpyUnion",0.802142857142857,0.890377588306943,20,75,0.5,2
"MantaLumpyUnion",0.819285714285714,0.918052988293284,20,75,0.5,5
"MantaLumpyUnion",0.831428571428571,0.944375,20,75,0.5,50
"MantaLumpyUnion",0.84,0.960907944514502,20,75,0.5,100
"MantaLumpyUnion",0.840714285714286,0.963360707517372,20,75,0.5,150
"MantaLumpyUnion",0.840714285714286,0.964579380139152,20,75,0.5,200
"MantaLumpyUnion",0.859285714285714,0.897642323174238,20,75,0.8,2
"MantaLumpyUnion",0.877142857142857,0.924418604651163,20,75,0.8,5
"MantaLumpyUnion",0.887857142857143,0.942555685814771,20,75,0.8,50
"MantaLumpyUnion",0.889285714285714,0.947647058823529,20,75,0.8,100
"MantaLumpyUnion",0.89,0.95159386068477,20,75,0.8,150
"MantaLumpyUnion",0.89,0.953846153846154,20,75,0.8,200
"MantaLumpyUnion",0.865,0.895927601809955,20,75,1,2
"MantaLumpyUnion",0.885,0.922857142857143,20,75,1,5
"MantaLumpyUnion",0.892857142857143,0.936280137772675,20,75,1,50
"MantaLumpyUnion",0.895714285714286,0.941853770869315,20,75,1,100
"MantaLumpyUnion",0.896428571428571,0.944604731679169,20,75,1,150
"MantaLumpyUnion",0.896428571428571,0.948985507246377,20,75,1,200
"MantaLumpyUnion",0.0585714285714286,0.814814814814815,20,90,0.05,2
"MantaLumpyUnion",0.06,0.850931677018634,20,90,0.05,5
"MantaLumpyUnion",0.0614285714285714,0.875776397515528,20,90,0.05,50
"MantaLumpyUnion",0.0657142857142857,0.901840490797546,20,90,0.05,100
"MantaLumpyUnion",0.0664285714285714,0.936708860759494,20,90,0.05,150
"MantaLumpyUnion",0.0664285714285714,0.942675159235669,20,90,0.05,200
"MantaLumpyUnion",0.230714285714286,0.748865355521936,20,90,0.1,2
"MantaLumpyUnion",0.241428571428571,0.783866057838661,20,90,0.1,5
"MantaLumpyUnion",0.253571428571429,0.84012539184953,20,90,0.1,50
"MantaLumpyUnion",0.267142857142857,0.907617504051864,20,90,0.1,100
"MantaLumpyUnion",0.269285714285714,0.949579831932773,20,90,0.1,150
"MantaLumpyUnion",0.27,0.965870307167236,20,90,0.1,200
"MantaLumpyUnion",0.503571428571429,0.783529411764706,20,90,0.2,2
"MantaLumpyUnion",0.522857142857143,0.812154696132597,20,90,0.2,5
"MantaLumpyUnion",0.554285714285714,0.881870385561936,20,90,0.2,50
"MantaLumpyUnion",0.577142857142857,0.940577249575552,20,90,0.2,100
"MantaLumpyUnion",0.58,0.961106309420916,20,90,0.2,150
"MantaLumpyUnion",0.582142857142857,0.970409051348999,20,90,0.2,200
"MantaLumpyUnion",0.800714285714286,0.890243902439024,20,90,0.5,2
"MantaLumpyUnion",0.817857142857143,0.917951881554596,20,90,0.5,5
"MantaLumpyUnion",0.83,0.944305381727159,20,90,0.5,50
"MantaLumpyUnion",0.838571428571429,0.960858585858586,20,90,0.5,100
"MantaLumpyUnion",0.839285714285714,0.963314358001265,20,90,0.5,150
"MantaLumpyUnion",0.839285714285714,0.964534515516149,20,90,0.5,200
"MantaLumpyUnion",0.857857142857143,0.898041474654378,20,90,0.8,2
"MantaLumpyUnion",0.876428571428571,0.925451368666278,20,90,0.8,5
"MantaLumpyUnion",0.886428571428571,0.943041691133294,20,90,0.8,50
"MantaLumpyUnion",0.887857142857143,0.94814378314673,20,90,0.8,100
"MantaLumpyUnion",0.888571428571429,0.952099349497339,20,90,0.8,150
"MantaLumpyUnion",0.888571428571429,0.953226761397276,20,90,0.8,200
"MantaLumpyUnion",0.861428571428571,0.897159090909091,20,90,1,2
"MantaLumpyUnion",0.882142857142857,0.924799081515499,20,90,1,5
"MantaLumpyUnion",0.889285714285714,0.937716262975779,20,90,1,50
"MantaLumpyUnion",0.892142857142857,0.94331983805668,20,90,1,100
"MantaLumpyUnion",0.892857142857143,0.946086956521739,20,90,1,150
"MantaLumpyUnion",0.892857142857143,0.949389179755672,20,90,1,200
"MantaLumpyUnion",0.125714285714286,0.803234501347709,30,15,0.05,2
"MantaLumpyUnion",0.133571428571429,0.853658536585366,30,15,0.05,5
"MantaLumpyUnion",0.138571428571429,0.885558583106267,30,15,0.05,50
"MantaLumpyUnion",0.142857142857143,0.927576601671309,30,15,0.05,100
"MantaLumpyUnion",0.144285714285714,0.946478873239437,30,15,0.05,150
"MantaLumpyUnion",0.145,0.951977401129944,30,15,0.05,200
"MantaLumpyUnion",0.326428571428571,0.743915343915344,30,15,0.1,2
"MantaLumpyUnion",0.347142857142857,0.779427359490986,30,15,0.1,5
"MantaLumpyUnion",0.375714285714286,0.852620087336245,30,15,0.1,50
"MantaLumpyUnion",0.4,0.922209695603157,30,15,0.1,100
"MantaLumpyUnion",0.406428571428571,0.958381502890173,30,15,0.1,150
"MantaLumpyUnion",0.407142857142857,0.969661610268378,30,15,0.1,200
"MantaLumpyUnion",0.620714285714286,0.823407202216066,30,15,0.2,2
"MantaLumpyUnion",0.642857142857143,0.853249475890985,30,15,0.2,5
"MantaLumpyUnion",0.66,0.895114942528736,30,15,0.2,50
"MantaLumpyUnion",0.680714285714286,0.945144551519644,30,15,0.2,100
"MantaLumpyUnion",0.682857142857143,0.960180315552216,30,15,0.2,150
"MantaLumpyUnion",0.683571428571429,0.963828183873399,30,15,0.2,200
"MantaLumpyUnion",0.788571428571429,0.908920773549595,30,15,0.5,2
"MantaLumpyUnion",0.806428571428571,0.936868686868687,30,15,0.5,5
"MantaLumpyUnion",0.815714285714286,0.949270767279645,30,15,0.5,50
"MantaLumpyUnion",0.821428571428571,0.959209687699171,30,15,0.5,100
"MantaLumpyUnion",0.822142857142857,0.964148527528809,30,15,0.5,150
"MantaLumpyUnion",0.822857142857143,0.967265725288832,30,15,0.5,200
"MantaLumpyUnion",0.865,0.903835145964511,30,15,0.8,2
"MantaLumpyUnion",0.885,0.928901734104046,30,15,0.8,5
"MantaLumpyUnion",0.888571428571429,0.938407902382336,30,15,0.8,50
"MantaLumpyUnion",0.890714285714286,0.944541739638062,30,15,0.8,100
"MantaLumpyUnion",0.891428571428571,0.946783625730994,30,15,0.8,150
"MantaLumpyUnion",0.891428571428571,0.951793062904174,30,15,0.8,200
"MantaLumpyUnion",0.872857142857143,0.893296089385475,30,15,1,2
"MantaLumpyUnion",0.897857142857143,0.923293852227862,30,15,1,5
"MantaLumpyUnion",0.9,0.932501418037436,30,15,1,50
"MantaLumpyUnion",0.9,0.938892061679041,30,15,1,100
"MantaLumpyUnion",0.900714285714286,0.941075514874142,30,15,1,150
"MantaLumpyUnion",0.900714285714286,0.943233944954128,30,15,1,200
"MantaLumpyUnion",0.127142857142857,0.797333333333333,30,30,0.05,2
"MantaLumpyUnion",0.135,0.847184986595174,30,30,0.05,5
"MantaLumpyUnion",0.14,0.881081081081081,30,30,0.05,50
"MantaLumpyUnion",0.144285714285714,0.927777777777778,30,30,0.05,100
"MantaLumpyUnion",0.146428571428571,0.952112676056338,30,30,0.05,150
"MantaLumpyUnion",0.147142857142857,0.960339943342776,30,30,0.05,200
"MantaLumpyUnion",0.332857142857143,0.748949579831933,30,30,0.1,2
"MantaLumpyUnion",0.352142857142857,0.782929399367756,30,30,0.1,5
"MantaLumpyUnion",0.380714285714286,0.856677524429967,30,30,0.1,50
"MantaLumpyUnion",0.405,0.926008968609865,30,30,0.1,100
"MantaLumpyUnion",0.411428571428571,0.963176064441887,30,30,0.1,150
"MantaLumpyUnion",0.412142857142857,0.973317865429234,30,30,0.1,200
"MantaLumpyUnion",0.651428571428571,0.830862533692722,30,30,0.2,2
"MantaLumpyUnion",0.672857142857143,0.859863945578231,30,30,0.2,5
"MantaLumpyUnion",0.689285714285714,0.900768693221523,30,30,0.2,50
"MantaLumpyUnion",0.709285714285714,0.948201438848921,30,30,0.2,100
"MantaLumpyUnion",0.711428571428571,0.962827988338192,30,30,0.2,150
"MantaLumpyUnion",0.712142857142857,0.964963503649635,30,30,0.2,200
"MantaLumpyUnion",0.842142857142857,0.903358868591632,30,30,0.5,2
"MantaLumpyUnion",0.860714285714286,0.930870083432658,30,30,0.5,5
"MantaLumpyUnion",0.867857142857143,0.942549371633752,30,30,0.5,50
"MantaLumpyUnion",0.873571428571429,0.952466907340554,30,30,0.5,100
"MantaLumpyUnion",0.874285714285714,0.957099697885196,30,30,0.5,150
"MantaLumpyUnion",0.875,0.960024227740763,30,30,0.5,200
"MantaLumpyUnion",0.882857142857143,0.8984375,30,30,0.8,2
"MantaLumpyUnion",0.903571428571429,0.924507042253521,30,30,0.8,5
