"Caller","Sensitivity","Precision","T_coverage","N_coverage","VAF","BND_threshold"
"MantaLumpyIntersect",0.0107142857142857,0.95,20,45,0.05,2
"MantaLumpyIntersect",0.0107142857142857,1,20,45,0.05,5
"MantaLumpyIntersect",0.0107142857142857,1,20,45,0.05,50
"MantaLumpyIntersect",0.0121428571428571,1,20,45,0.05,100
"MantaLumpyIntersect",0.0121428571428571,1,20,45,0.05,150
"MantaLumpyIntersect",0.0121428571428571,1,20,45,0.05,200
"MantaLumpyIntersect",0.0864285714285714,0.957081545064378,20,45,0.1,2
"MantaLumpyIntersect",0.09,0.991341991341991,20,45,0.1,5
"MantaLumpyIntersect",0.09,0.991341991341991,20,45,0.1,50
"MantaLumpyIntersect",0.0928571428571429,0.991489361702128,20,45,0.1,100
"MantaLumpyIntersect",0.0928571428571429,0.991489361702128,20,45,0.1,150
"MantaLumpyIntersect",0.0928571428571429,0.991489361702128,20,45,0.1,200
"MantaLumpyIntersect",0.286428571428571,0.947598253275109,20,45,0.2,2
"MantaLumpyIntersect",0.295,0.973607038123167,20,45,0.2,5
"MantaLumpyIntersect",0.295,0.973607038123167,20,45,0.2,50
"MantaLumpyIntersect",0.302857142857143,0.974025974025974,20,45,0.2,100
"MantaLumpyIntersect",0.304285714285714,0.97410071942446,20,45,0.2,150
"MantaLumpyIntersect",0.304285714285714,0.97410071942446,20,45,0.2,200
"MantaLumpyIntersect",0.608571428571429,0.949675324675325,20,45,0.5,2
"MantaLumpyIntersect",0.620714285714286,0.976151315789474,20,45,0.5,5
"MantaLumpyIntersect",0.620714285714286,0.976151315789474,20,45,0.5,50
"MantaLumpyIntersect",0.63,0.976403580146461,20,45,0.5,100
"MantaLumpyIntersect",0.630714285714286,0.976422764227642,20,45,0.5,150
"MantaLumpyIntersect",0.630714285714286,0.976422764227642,20,45,0.5,200
"MantaLumpyIntersect",0.664285714285714,0.952127659574468,20,45,0.8,2
"MantaLumpyIntersect",0.676428571428571,0.976172175249808,20,45,0.8,5
"MantaLumpyIntersect",0.677142857142857,0.976190476190476,20,45,0.8,50
"MantaLumpyIntersect",0.678571428571429,0.976226993865031,20,45,0.8,100
"MantaLumpyIntersect",0.678571428571429,0.976226993865031,20,45,0.8,150
"MantaLumpyIntersect",0.678571428571429,0.976226993865031,20,45,0.8,200
"MantaLumpyIntersect",0.672142857142857,0.950263752825923,20,45,1,2
"MantaLumpyIntersect",0.685,0.974105102817974,20,45,1,5
"MantaLumpyIntersect",0.685,0.974105102817974,20,45,1,50
"MantaLumpyIntersect",0.689285714285714,0.974222896133434,20,45,1,100
"MantaLumpyIntersect",0.689285714285714,0.974222896133434,20,45,1,150
"MantaLumpyIntersect",0.689285714285714,0.974222896133434,20,45,1,200
"MantaLumpyIntersect",0.01,0.947368421052632,20,60,0.05,2
"MantaLumpyIntersect",0.01,1,20,60,0.05,5
"MantaLumpyIntersect",0.01,1,20,60,0.05,50
"MantaLumpyIntersect",0.0114285714285714,1,20,60,0.05,100
"MantaLumpyIntersect",0.0114285714285714,1,20,60,0.05,150
"MantaLumpyIntersect",0.0114285714285714,1,20,60,0.05,200
"MantaLumpyIntersect",0.0907142857142857,0.957983193277311,20,60,0.1,2
"MantaLumpyIntersect",0.0942857142857143,0.991525423728814,20,60,0.1,5
"MantaLumpyIntersect",0.0942857142857143,0.991525423728814,20,60,0.1,50
"MantaLumpyIntersect",0.0971428571428571,0.991666666666667,20,60,0.1,100
"MantaLumpyIntersect",0.0971428571428571,0.991666666666667,20,60,0.1,150
"MantaLumpyIntersect",0.0971428571428571,0.991666666666667,20,60,0.1,200
"MantaLumpyIntersect",0.289285714285714,0.946608946608947,20,60,0.2,2
"MantaLumpyIntersect",0.297857142857143,0.973799126637555,20,60,0.2,5
"MantaLumpyIntersect",0.297857142857143,0.973799126637555,20,60,0.2,50
"MantaLumpyIntersect",0.305714285714286,0.974212034383954,20,60,0.2,100
"MantaLumpyIntersect",0.307142857142857,0.974285714285714,20,60,0.2,150
"MantaLumpyIntersect",0.307142857142857,0.974285714285714,20,60,0.2,200
"MantaLumpyIntersect",0.608571428571429,0.950487012987013,20,60,0.5,2
"MantaLumpyIntersect",0.620714285714286,0.976973684210526,20,60,0.5,5
"MantaLumpyIntersect",0.620714285714286,0.976973684210526,20,60,0.5,50
"MantaLumpyIntersect",0.630714285714286,0.977235772357724,20,60,0.5,100
"MantaLumpyIntersect",0.631428571428571,0.977254264825345,20,60,0.5,150
"MantaLumpyIntersect",0.631428571428571,0.977254264825345,20,60,0.5,200
"MantaLumpyIntersect",0.665,0.95361216730038,20,60,0.8,2
"MantaLumpyIntersect",0.676428571428571,0.976172175249808,20,60,0.8,5
"MantaLumpyIntersect",0.677142857142857,0.976190476190476,20,60,0.8,50
"MantaLumpyIntersect",0.678571428571429,0.976226993865031,20,60,0.8,100
"MantaLumpyIntersect",0.678571428571429,0.976226993865031,20,60,0.8,150
"MantaLumpyIntersect",0.678571428571429,0.976226993865031,20,60,0.8,200
"MantaLumpyIntersect",0.672857142857143,0.950301204819277,20,60,1,2
"MantaLumpyIntersect",0.685714285714286,0.974124809741248,20,60,1,5
"MantaLumpyIntersect",0.685714285714286,0.974124809741248,20,60,1,50
"MantaLumpyIntersect",0.689285714285714,0.974222896133434,20,60,1,100
"MantaLumpyIntersect",0.689285714285714,0.974222896133434,20,60,1,150
"MantaLumpyIntersect",0.689285714285714,0.974222896133434,20,60,1,200
"MantaLumpyIntersect",0.0128571428571429,0.955555555555556,20,75,0.05,2
"MantaLumpyIntersect",0.0128571428571429,1,20,75,0.05,5
"MantaLumpyIntersect",0.0128571428571429,1,20,75,0.05,50
"MantaLumpyIntersect",0.0142857142857143,1,20,75,0.05,100
"MantaLumpyIntersect",0.0142857142857143,1,20,75,0.05,150
"MantaLumpyIntersect",0.0142857142857143,1,20,75,0.05,200
"MantaLumpyIntersect",0.0921428571428571,0.954918032786885,20,75,0.1,2
"MantaLumpyIntersect",0.0957142857142857,0.987603305785124,20,75,0.1,5
"MantaLumpyIntersect",0.0957142857142857,0.987603305785124,20,75,0.1,50
"MantaLumpyIntersect",0.0985714285714286,0.98780487804878,20,75,0.1,100
"MantaLumpyIntersect",0.0985714285714286,0.98780487804878,20,75,0.1,150
"MantaLumpyIntersect",0.0985714285714286,0.98780487804878,20,75,0.1,200
"MantaLumpyIntersect",0.290714285714286,0.945636623748212,20,75,0.2,2
"MantaLumpyIntersect",0.299285714285714,0.974025974025974,20,75,0.2,5
"MantaLumpyIntersect",0.299285714285714,0.974025974025974,20,75,0.2,50
"MantaLumpyIntersect",0.307142857142857,0.974431818181818,20,75,0.2,100
"MantaLumpyIntersect",0.308571428571429,0.974504249291785,20,75,0.2,150
"MantaLumpyIntersect",0.308571428571429,0.974504249291785,20,75,0.2,200
"MantaLumpyIntersect",0.61,0.949797570850202,20,75,0.5,2
"MantaLumpyIntersect",0.622142857142857,0.976210008203446,20,75,0.5,5
"MantaLumpyIntersect",0.622142857142857,0.976210008203446,20,75,0.5,50
"MantaLumpyIntersect",0.632142857142857,0.976480129764801,20,75,0.5,100
"MantaLumpyIntersect",0.632857142857143,0.976499189627228,20,75,0.5,150
"MantaLumpyIntersect",0.632857142857143,0.976499189627228,20,75,0.5,200
"MantaLumpyIntersect",0.665,0.952887537993921,20,75,0.8,2
"MantaLumpyIntersect",0.676428571428571,0.976172175249808,20,75,0.8,5
"MantaLumpyIntersect",0.677142857142857,0.976190476190476,20,75,0.8,50
"MantaLumpyIntersect",0.679285714285714,0.976245210727969,20,75,0.8,100
"MantaLumpyIntersect",0.679285714285714,0.976245210727969,20,75,0.8,150
"MantaLumpyIntersect",0.679285714285714,0.976245210727969,20,75,0.8,200
"MantaLumpyIntersect",0.672857142857143,0.951017332328561,20,75,1,2
"MantaLumpyIntersect",0.685,0.974105102817974,20,75,1,5
"MantaLumpyIntersect",0.685,0.974105102817974,20,75,1,50
"MantaLumpyIntersect",0.689285714285714,0.974222896133434,20,75,1,100
"MantaLumpyIntersect",0.689285714285714,0.974222896133434,20,75,1,150
"MantaLumpyIntersect",0.689285714285714,0.974222896133434,20,75,1,200
"MantaLumpyIntersect",0.0128571428571429,0.956521739130435,20,90,0.05,2
"MantaLumpyIntersect",0.0128571428571429,1,20,90,0.05,5
"MantaLumpyIntersect",0.0128571428571429,1,20,90,0.05,50
"MantaLumpyIntersect",0.015,1,20,90,0.05,100
"MantaLumpyIntersect",0.015,1,20,90,0.05,150
"MantaLumpyIntersect",0.015,1,20,90,0.05,200
"MantaLumpyIntersect",0.0928571428571429,0.955102040816327,20,90,0.1,2
"MantaLumpyIntersect",0.0964285714285714,0.987654320987654,20,90,0.1,5
"MantaLumpyIntersect",0.0964285714285714,0.987654320987654,20,90,0.1,50
"MantaLumpyIntersect",0.0992857142857143,0.987854251012146,20,90,0.1,100
"MantaLumpyIntersect",0.0992857142857143,0.987854251012146,20,90,0.1,150
"MantaLumpyIntersect",0.0992857142857143,0.987854251012146,20,90,0.1,200
"MantaLumpyIntersect",0.291428571428571,0.945714285714286,20,90,0.2,2
"MantaLumpyIntersect",0.3,0.974063400576369,20,90,0.2,5
"MantaLumpyIntersect",0.3,0.974063400576369,20,90,0.2,50
"MantaLumpyIntersect",0.307857142857143,0.974468085106383,20,90,0.2,100
"MantaLumpyIntersect",0.309285714285714,0.974540311173975,20,90,0.2,150
"MantaLumpyIntersect",0.309285714285714,0.974540311173975,20,90,0.2,200
"MantaLumpyIntersect",0.609285714285714,0.949756888168558,20,90,0.5,2
"MantaLumpyIntersect",0.621428571428571,0.976190476190476,20,90,0.5,5
"MantaLumpyIntersect",0.621428571428571,0.976190476190476,20,90,0.5,50
"MantaLumpyIntersect",0.631428571428571,0.976461038961039,20,90,0.5,100
"MantaLumpyIntersect",0.632142857142857,0.976480129764801,20,90,0.5,150
"MantaLumpyIntersect",0.632142857142857,0.976480129764801,20,90,0.5,200
"MantaLumpyIntersect",0.665714285714286,0.952200303490137,20,90,0.8,2
"MantaLumpyIntersect",0.677857142857143,0.976208749040675,20,90,0.8,5
